"","mean","se_mean","sd","5%","95%","n_eff","Rhat","politician_id_numeric","fullname"
"alpha[1,1]",0.176810352219738,0.147595156474875,0.978513795690995,-1.43338799262668,1.8261345574455,43.9531185450543,1.04097104611575,1,"Mike Quigley"
"alpha[1,2]",-0.29886591349632,0.0673163821176053,0.881223641683811,-1.68744279291891,1.18863256483477,171.368401600675,1.0107407798152,1,"Mike Quigley"
"alpha[1,3]",0.752262772157571,0.297711643157474,1.08242812484674,-1.02043670273496,2.51050227676394,13.2192402806517,1.14779926799883,1,"Mike Quigley"
"alpha[1,4]",-0.176573501645257,0.204117041227598,0.837432927682587,-1.50683246332085,1.3294194446117,16.8322253831432,1.13269690360107,1,"Mike Quigley"
"alpha[1,5]",0.0536422124755601,0.20727962516222,0.767115435730423,-1.21403416772944,1.3053148756117,13.6964562313111,1.14203122947059,1,"Mike Quigley"
"alpha[1,6]",0.262117564222752,0.0456897773068403,0.675712427034379,-0.869121580720251,1.36784021672014,218.718606184497,1.00794178484597,1,"Mike Quigley"
"alpha[1,7]",0.705351708410842,0.0721790658454779,0.833685446407402,-0.701801795868422,2.02769938890619,133.408016186992,1.00702494075975,1,"Mike Quigley"
"alpha[1,8]",-0.177053698754802,0.117972672216221,0.799313117971767,-1.41107540631728,1.1475262801876,45.9061685971815,1.05236613515074,1,"Mike Quigley"
"alpha[1,9]",-0.0872544878721847,0.0768924023219487,0.443927202245841,-0.779149751176853,0.67770336922792,33.3316379929563,1.09351652764122,1,"Mike Quigley"
"alpha[1,10]",-0.564135972037018,0.0449328338721331,0.710127189222378,-1.8009570917267,0.56156481258431,249.772523887327,1.00969488299224,1,"Mike Quigley"
"alpha[1,11]",-0.0936080457780998,0.18847227057331,1.07166922837908,-1.63189562450986,1.8410655664066,32.3315552511969,1.07978866709053,1,"Mike Quigley"
"alpha[1,12]",0.152639921972454,0.108104688796701,0.990987523797488,-1.40354707673634,1.80340998461598,84.0325053826397,1.01193337515277,1,"Mike Quigley"
"alpha[1,13]",0.058585588865039,0.0467415385765461,0.910273549075235,-1.43283391226623,1.55893057410202,379.26069671914,1.01034417359466,1,"Mike Quigley"
"alpha[1,14]",-0.551243458684602,0.0947400677001976,0.912266310054513,-1.98677423697152,0.953912069779127,92.7205271122755,1.0006585231218,1,"Mike Quigley"
"alpha[1,15]",-0.183057428071729,0.0718637539682463,0.884961747185114,-1.65381024847725,1.1705835015387,151.645384796659,1.00280061759803,1,"Mike Quigley"
"alpha[1,16]",-0.655888536129737,0.0390730556382148,0.2554936547773,-1.24431455305182,-0.318465377144184,42.7568287276992,1.02292152726116,1,"Mike Quigley"
"alpha[1,17]",-0.741052154327474,0.563708750614051,0.641991051698328,-1.93780525695229,-0.0241595184302509,1.29702514716381,1.93701938708437,1,"Mike Quigley"
"alpha[1,18]",0.0965077760536128,0.762558883152081,0.845972175501594,-1.1156102024666,1.49502019197334,1.2307373736855,1.98421877002274,1,"Mike Quigley"
"alpha[1,19]",-0.619808457683437,0.0299546449711223,0.285024993084691,-1.18412313346986,-0.254948642365088,90.53938379811,1.03285136656996,1,"Mike Quigley"
"alpha[1,20]",0.204903692721495,0.40689933372486,0.723806614438332,-0.808847239454528,1.45693474088788,3.16425254195278,1.18223623414597,1,"Mike Quigley"
"alpha[1,21]",-0.155274625549449,0.0765270900610751,0.89669878723682,-1.63175779472748,1.30163721257565,137.297543039481,1.02635673724565,1,"Mike Quigley"
"alpha[1,22]",-1.13744433510774,0.120329309819786,0.820827961720853,-2.61238833939793,0.112167642079759,46.5330408001378,1.0471306632854,1,"Mike Quigley"
"alpha[1,23]",-0.0494724667965323,0.0974832440924385,0.88228756024947,-1.54146144230001,1.37825074783094,81.914420861338,1.0242259485193,1,"Mike Quigley"
"alpha[1,24]",-1.20203602687826,0.0426267971289586,0.412977135510205,-1.98122171458833,-0.624931016123452,93.8613099543104,1.02134523597128,1,"Mike Quigley"
"alpha[1,25]",-0.173079152340798,0.287374237428658,0.616495011575569,-1.09014112912601,0.956178621809636,4.60217861387151,1.16890980457905,1,"Mike Quigley"
"alpha[1,26]",0.408610260893033,0.249221972073437,0.951782127462558,-1.14775620951084,2.11135377037181,14.5848656951282,1.11214582524481,1,"Mike Quigley"
"alpha[1,27]",-0.040166227559833,0.102902078668607,0.956531956338054,-1.61418091804928,1.4385330106003,86.4073471771072,1.06176679562088,1,"Mike Quigley"
"alpha[1,28]",0.466211323494095,0.0411656864223524,0.626679312440186,-0.471340123269564,1.62730307368773,231.750133785367,0.999312852805153,1,"Mike Quigley"
"alpha[1,29]",0.225045598698556,0.42454915077044,0.885445196795117,-1.33736898920382,1.55947724665362,4.3497812793184,1.11067594205268,1,"Mike Quigley"
"alpha[1,30]",-0.313336649164242,0.422617399967767,0.985970059206982,-2.00482712557633,1.31124117308165,5.44292946521806,1.0882033940567,1,"Mike Quigley"
"alpha[1,31]",-0.703443597832467,0.0340048953344066,0.248398539472345,-1.14867028395597,-0.381372033875924,53.3599226090269,1.08592247159179,1,"Mike Quigley"
"alpha[1,32]",0.123385079841131,0.105764184077932,0.987262517453179,-1.53734490391176,1.64933645161969,87.1340801752828,1.00627280752081,1,"Mike Quigley"
"alpha[2,1]",-0.0386783928657115,0.0690759952876219,1.01915109005091,-1.65067095738877,1.65336014718004,217.682163035134,1.00257921670185,2,"Judy Chu"
"alpha[2,2]",-0.00228209455252065,0.0602424062391192,0.974748342642365,-1.65073706886063,1.55110519250068,261.806479070458,1.01994895489985,2,"Judy Chu"
